,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
66,4,5,5,5,5,4,4,5,5,4,0,0,0,0,0,2,0,0,0,2,28,23,20,16,16,16,21,21,19,28,,,,,,,,,,
67,4,5,5,5,5,4,4,5,5,4,0,0,0,0,0,2,0,0,0,2,28,13,10,16,16,16,21,11,19,28,,,,-5080.0,,,,,-4095.0,
68,4,5,5,5,5,4,4,5,5,4,0,0,0,0,0,2,0,0,0,1,18,13,10,21,16,16,11,11,29,19,,,,,,,,,,
69,4,5,5,5,5,4,4,5,5,4,0,0,0,0,0,2,0,0,0,1,18,13,10,21,16,16,11,11,29,19,,,,,,,,,,
70,4,5,5,5,5,3,4,5,5,4,0,0,0,0,0,2,0,0,0,1,18,13,10,11,16,16,11,11,19,19,,,,,-5080.0,-5080.0,,,,
71,4,5,5,5,5,3,4,5,5,4,0,0,0,0,0,2,0,0,0,1,18,13,10,11,23,20,11,11,19,19,,-5065.0,,,,,-4055.0,-5055.0,,
72,5,5,3,5,5,3,4,5,5,4,0,0,0,0,0,2,0,0,0,1,18,27,10,11,23,20,29,22,19,19,-4090.0,,-5050.0,,,,,,,
73,5,5,3,5,5,3,4,5,5,5,0,0,0,0,0,4,0,0,0,1,20,27,26,11,13,8,29,22,19,19,,,,,,,,,,-4095.0
74,5,5,3,5,5,3,4,5,5,5,0,0,0,0,0,4,1,0,0,1,20,17,26,11,13,8,18,12,19,27,,,,-4055.0,,,,,-5095.0,
75,5,5,3,5,5,3,4,5,5,5,0,0,0,0,0,4,1,0,0,1,10,17,16,22,13,8,18,12,29,27,,,,,,,,,,
76,5,5,3,5,5,2,4,5,5,5,0,0,0,0,0,4,1,0,0,9,10,17,16,22,13,8,18,12,29,9,,,,,,-7040.0,,-5060.0,,
77,5,5,3,5,5,2,6,5,5,5,0,0,0,0,0,4,1,0,0,9,10,17,16,12,13,19,18,21,19,9,,-4085.0,,,-5065.0,,-5090.0,,,
78,5,5,3,5,5,2,6,5,5,4,0,0,0,0,0,4,1,0,0,9,10,23,16,12,23,19,20,21,19,9,,,,,,,,,,-14045.0
79,5,5,3,5,5,2,6,5,5,4,0,0,0,0,0,2,1,0,0,9,10,23,16,12,23,11,20,11,19,20,-5050.0,,,,,,,,,
80,5,5,8,5,5,2,6,5,5,4,0,0,0,0,0,2,0,0,0,9,26,13,16,12,13,11,11,11,19,20,,,-2080.0,,,,,,-5095.0,
81,5,5,8,5,5,2,6,5,5,4,0,0,0,0,0,2,0,0,0,0,26,13,25,12,13,11,11,11,29,19,,,,,,,,,,
82,5,5,8,5,5,2,6,5,5,4,0,0,0,0,0,2,0,0,0,0,16,13,25,12,13,11,11,11,29,19,,,,-5060.0,,,,-4055.0,,
83,5,5,4,5,5,2,6,5,5,4,0,0,1,0,0,2,0,0,0,0,16,13,14,26,13,11,11,21,19,19,,-5065.0,-59070.0,,,,-5055.0,,,
84,5,5,4,5,5,1,6,5,5,4,0,0,1,0,0,2,0,0,0,0,16,27,24,26,13,11,24,21,19,19,,,,,-5065.0,-4055.0,,,,
85,5,5,4,5,5,1,6,5,5,4,0,0,1,0,0,2,0,0,0,0,16,27,24,16,23,18,24,11,19,19,,,,,,,,,,
86,5,5,4,5,5,1,6,5,5,9,0,0,2,0,0,2,0,0,0,0,16,17,13,16,23,18,14,11,19,19,-5080.0,,,,,,,,-5095.0,-3095.0
87,5,5,4,5,5,1,6,5,5,9,0,0,2,0,0,3,0,0,0,0,21,17,13,16,13,7,14,11,29,21,,,,,,,,-5055.0,,
88,5,5,4,5,5,1,6,5,5,9,0,0,2,0,0,3,0,0,0,0,21,17,13,16,13,7,14,22,29,21,,,,-5080.0,,,,,,
89,5,5,4,5,5,1,4,5,5,9,0,0,2,0,0,3,0,0,0,0,11,17,13,21,13,7,14,22,19,21,,,,,,,-5070.0,,,
90,5,5,4,5,5,1,4,5,5,4,0,0,2,0,0,3,0,0,0,10,11,17,13,21,13,7,26,12,19,1,,-5085.0,,,,,,,,-18005.0
91,5,5,4,5,5,1,4,5,5,4,0,0,2,0,0,3,0,0,0,0,11,21,13,11,13,7,26,12,19,28,,,,,,,,,,
92,5,5,6,5,5,1,4,5,5,4,0,0,2,0,0,3,1,0,0,0,11,21,13,11,13,7,15,12,19,28,,,-6065.0,,-5065.0,,,,-5095.0,
93,5,5,6,5,5,10,4,5,5,4,0,1,2,0,0,3,1,0,0,1,11,10,17,11,23,7,15,12,29,27,-5055.0,,,,,-54035.0,,,,
94,5,5,6,5,5,10,4,5,5,4,0,1,2,0,0,3,1,0,0,1,26,10,17,11,23,28,15,12,29,27,,,,-4055.0,,,,-5060.0,,
95,5,5,6,5,5,10,4,5,5,4,0,1,0,0,0,3,1,0,0,1,26,10,9,22,13,28,15,21,19,27,,,,,,,,,,
96,5,5,5,5,5,10,8,5,5,4,0,1,0,0,0,3,1,0,0,1,16,10,9,22,13,28,15,21,19,27,,-6050.0,-6045.0,,,,-4075.0,,,
97,5,5,5,5,5,8,8,5,5,4,0,1,0,0,0,14,1,0,0,1,16,14,21,12,13,7,20,11,19,27,,,,,,-273035.0,,,,
98,5,5,5,5,5,8,8,5,5,4,0,1,0,0,0,4,1,0,0,1,16,14,21,12,13,7,20,11,19,27,,,,,,,,,,
99,5,5,5,5,5,8,8,5,5,4,0,0,0,0,0,4,6,0,0,1,16,5,21,12,13,7,5,11,19,27,,,,,,,,,-4095.0,
100,5,5,5,5,5,8,6,5,5,4,0,0,1,0,0,4,6,0,0,1,16,5,10,12,13,7,5,11,29,27,-5080.0,,,,-5065.0,,-14025.0,-5055.0,,
101,5,5,5,5,5,8,6,5,5,6,0,0,1,0,0,4,6,0,0,1,21,5,10,12,23,7,16,22,29,27,,,,-5060.0,,,,,,-5135.0
102,5,5,5,5,5,8,6,5,5,6,0,0,1,0,0,4,6,0,0,1,21,5,10,26,23,7,16,22,19,29,,,,,,,,,,
103,5,5,5,5,5,8,6,5,5,6,0,0,1,0,0,4,0,0,0,1,11,5,10,26,13,7,12,12,19,29,,,,,,,,,,
104,5,11,5,5,5,5,6,5,5,6,0,0,1,0,0,4,0,0,0,1,11,5,10,16,13,7,12,12,19,19,,-5025.0,-5050.0,,,-12035.0,,,,
105,5,11,5,5,5,5,6,5,5,6,0,0,1,0,0,4,0,0,0,1,11,16,24,16,13,23,12,12,19,19,,,,,,,,,,
106,5,11,5,5,5,5,6,5,5,5,0,0,1,0,0,4,0,0,0,1,11,16,24,16,13,23,12,12,19,19,-5055.0,,,,,,,,-5095.0,-7095.0
107,5,11,5,5,5,5,6,5,5,5,0,0,0,0,0,1,0,0,0,1,26,16,15,16,13,16,12,12,29,24,,,,-5080.0,-5065.0,,,,,
108,5,5,5,5,5,5,4,5,5,5,0,0,0,0,0,1,0,0,0,1,26,6,15,21,23,16,12,12,29,24,,-10030.0,,,,,-5060.0,-5060.0,,
109,5,5,5,5,5,5,4,5,5,5,0,0,0,0,0,1,0,0,0,2,16,27,15,21,23,16,27,21,19,13,,,,,,,,,,
110,5,5,5,5,5,5,4,5,5,5,0,0,0,0,0,1,0,0,0,2,16,27,15,11,13,16,27,21,19,13,,,,,,,,,,
111,5,5,5,5,5,5,4,5,5,5,0,0,0,0,0,1,1,0,0,2,16,27,15,11,13,16,16,11,19,13,,,-4075.0,,,,,,,
112,5,5,5,5,5,5,4,5,5,5,0,0,0,0,0,1,1,0,0,2,16,17,22,11,13,16,16,11,19,13,,,,,,,,,,
113,5,5,5,5,5,4,4,5,5,6,0,0,0,0,0,1,1,0,0,2,16,17,22,11,13,16,16,11,19,13,,,,-5055.0,,-5080.0,,,-4095.0,-7065.0
114,5,5,5,5,5,4,4,5,5,6,0,0,0,0,0,1,1,0,0,2,16,17,12,26,13,29,16,11,29,23,-5080.0,,,,,,,-5055.0,,
115,5,5,5,5,5,4,6,5,5,6,0,0,0,0,0,1,1,0,0,2,21,17,12,26,13,29,16,22,29,23,,,,,-5065.0,,-4080.0,,,
116,5,5,5,5,5,4,6,5,5,6,0,0,0,0,0,0,1,0,0,0,21,17,12,16,23,20,16,22,19,15,,,,,,,,,,
117,5,5,5,5,5,4,6,5,5,6,0,0,0,0,0,0,1,0,0,0,11,17,12,16,23,20,16,12,19,15,,,-5060.0,,,,,,,
118,5,5,5,5,5,4,6,5,5,6,0,0,0,0,0,0,0,0,0,0,11,17,24,16,13,20,7,12,19,15,,,,,,,,,-5095.0,
119,5,5,5,5,5,5,6,5,5,6,0,0,0,0,0,0,0,0,0,0,11,17,24,16,13,20,7,12,29,15,,-5085.0,,-5080.0,,-3100.0,,,,
120,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,11,21,14,21,13,27,7,12,29,15,-5055.0,,,,,,-6035.0,,,-6075.0
121,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,26,21,14,21,13,27,27,12,19,27,,,,,,,,,,
122,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0,6,0,0,0,0,26,10,14,11,13,11,27,12,19,27,,,,,-5065.0,,,-5060.0,,
