,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
43,5,2,11,4,4,4,5,4,2,4,0,2,0,0,1,0,0,0,0,0,15,13,16,11,28,6,12,13,7,12,,,-2080.0,,,-6030.0,,,-28035.0,
44,6,2,11,4,4,4,4,4,2,4,0,2,0,0,0,0,0,0,0,0,15,13,23,11,19,10,12,13,15,12,-4075.0,,,,,,-4060.0,-4065.0,,
45,6,5,11,4,4,4,4,4,2,4,0,2,0,0,0,0,0,0,0,0,25,13,23,11,19,10,25,29,15,12,,-4065.0,,-4055.0,,,,,,-24060.0
46,6,5,4,4,4,4,4,4,2,4,0,2,1,0,0,0,0,0,0,0,25,23,12,21,19,10,25,29,15,21,,,-29060.0,,-4095.0,,,,,
47,6,5,4,4,4,4,4,4,2,4,0,2,1,0,0,0,1,0,1,0,15,23,23,21,27,0,14,19,4,21,,,,,,,,,,
48,4,5,4,4,4,4,4,4,2,4,0,2,1,0,0,0,1,0,1,0,15,13,23,11,27,0,14,19,4,11,-6075.0,,,,,,,,,
49,4,5,4,4,4,4,5,4,2,4,0,2,2,0,1,0,1,0,1,0,25,13,12,11,16,0,14,19,4,11,,,,,,-4000.0,-5070.0,-4095.0,,
50,4,4,4,4,4,4,5,4,2,4,0,2,2,0,1,0,1,0,1,0,25,13,12,11,16,27,23,21,4,11,,-26065.0,,-4055.0,,,,,,-4055.0
51,4,4,4,4,7,4,5,4,9,4,3,2,2,0,1,0,1,0,1,0,12,28,12,21,16,27,23,21,4,23,,,,,-5080.0,,,,-3020.0,
52,4,4,4,4,7,4,5,4,9,4,3,2,2,0,1,0,0,0,1,0,12,28,12,21,24,27,14,11,13,23,,,,,,,,,,
