,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
99,5,0,7,0,0,2,1,1,5,1,16,0,3,5,1,2,0,5,1,6,1,22,23,18,10,15,19,11,27,27,,,,,,,,,,
100,5,0,7,0,0,2,1,1,5,1,16,0,4,5,1,2,0,5,5,6,1,22,22,18,10,15,19,11,13,27,,,,,,,,,,
101,5,0,7,0,3,7,6,1,5,1,16,6,4,5,1,2,0,5,5,6,1,6,22,18,10,15,19,11,13,27,,,,,-1050.0,-4075.0,-1095.0,,,
102,5,0,7,0,3,7,6,1,5,1,16,6,4,5,1,2,0,5,5,13,1,6,22,18,24,15,19,11,13,10,-51005.0,,,,,,,,,
103,5,0,3,0,3,7,6,1,5,1,6,6,4,5,1,2,0,5,5,13,27,6,22,18,24,15,19,11,13,10,,,-11110.0,,,,,,,
104,5,0,3,4,3,7,6,1,7,1,6,6,4,5,1,3,5,5,5,13,27,6,22,18,24,4,4,11,13,10,,,,-15090.0,,,,,-10065.0,
105,5,0,3,4,3,2,6,1,7,1,6,6,4,5,3,3,5,5,5,13,27,6,22,23,12,4,4,11,13,10,,,,,,-9020.0,,,,
106,5,0,3,4,3,2,7,9,7,1,6,6,5,5,3,3,5,5,5,13,27,6,11,23,12,23,4,11,13,10,,,,,,,-20020.0,-6055.0,,
107,5,0,3,4,3,2,7,9,7,3,6,6,5,4,3,3,5,5,0,13,27,6,11,14,12,23,24,27,8,10,,,,,,,,,,-44050.0
108,11,9,3,4,3,2,7,9,4,3,6,6,5,4,3,3,5,5,0,3,27,6,11,14,12,23,24,27,8,19,-11135.0,-6030.0,,,,,,,-7040.0,
109,11,9,3,4,3,2,7,3,4,3,6,6,5,4,3,1,5,1,0,3,27,19,11,14,12,15,24,21,26,19,,,,,,,,-29105.0,,
